Gm#,Date,Tm,Opp,Attendance,,,,,,,,,,,,,,,,,
1,"Friday, Apr 9",ARI,CIN,"19,385",,,,,,,,,,,,,,,,,
2,"Saturday, Apr 10",ARI,CIN,"13,208",,,,,,,,,,,,,,,,,
3,"Sunday, Apr 11",ARI,CIN,"10,981",,,,,,,,,,,,,,,,,
4,"Monday, Apr 12",ARI,OAK,"8,768",,,,,,,,,,,,,,,,,
5,"Tuesday, Apr 13",ARI,OAK,"7,010",,,,,,,,,,,,,,,,,
6,"Tuesday, Apr 27",ARI,SDP,"10,486",,,,,,,,,,,,,,,,,
7,"Wednesday, Apr 28",ARI,SDP,"9,495",,,,,,,,,,,,,,,,,
8,"Thursday, Apr 29",ARI,COL,"6,843",,,,,,,,,,,,,,,,,
9,"Friday, Apr 30",ARI,COL,"13,184",,,,,,,,,,,,,,,,,
10,"Saturday, May 1",ARI,COL,"15,734",,,,,,,,,,,,,,,,,
11,"Sunday, May 2",ARI,COL,"11,395",,,,,,,,,,,,,,,,,
12,"Monday, May 10",ARI,MIA,"6,307",,,,,,,,,,,,,,,,,
13,"Tuesday, May 11",ARI,MIA,"5,560",,,,,,,,,,,,,,,,,
14,"Wednesday, May 12",ARI,MIA,"5,714",,,,,,,,,,,,,,,,,
15,"Thursday, May 13",ARI,MIA,"5,967",,,,,,,,,,,,,,,,,
16,"Friday, May 14",ARI,WSN,"11,907",,,,,,,,,,,,,,,,,
17,"Saturday, May 15",ARI,WSN,"13,462",,,,,,,,,,,,,,,,,
18,"Sunday, May 16",ARI,WSN,"11,619",,,,,,,,,,,,,,,,,
19,"Tuesday, May 25",ARI,SFG,"10,311",,,,,,,,,,,,,,,,,
20,"Wednesday, May 26",ARI,SFG,"8,597",,,,,,,,,,,,,,,,,
21,"Thursday, May 27",ARI,STL,"8,951",,,,,,,,,,,,,,,,,
22,"Friday, May 28",ARI,STL,"11,581",,,,,,,,,,,,,,,,,
23,"Saturday, May 29",ARI,STL,"17,834",,,,,,,,,,,,,,,,,
24,"Sunday, May 30",ARI,STL,"16,681",,,,,,,,,,,,,,,,,
25,"Monday, May 31",ARI,NYM,"11,309",,,,,,,,,,,,,,,,,
26,"Tuesday, Jun 1",ARI,NYM,"9,590",,,,,,,,,,,,,,,,,
27,"Wednesday, Jun 2",ARI,NYM,"9,810",,,,,,,,,,,,,,,,,
28,"Friday, Jun 11",ARI,LAA,"18,458",,,,,,,,,,,,,,,,,
29,"Saturday, Jun 12",ARI,LAA,"13,863",,,,,,,,,,,,,,,,,
30,"Sunday, Jun 13",ARI,LAA,"12,768",,,,,,,,,,,,,,,,,
31,"Friday, Jun 18",ARI,LAD,"25,356",,,,,,,,,,,,,,,,,
32,"Saturday, Jun 19",ARI,LAD,"29,904",,,,,,,,,,,,,,,,,
33,"Sunday, Jun 20",ARI,LAD,"31,661",,,,,,,,,,,,,,,,,
34,"Monday, Jun 21",ARI,MIL,"9,804",,,,,,,,,,,,,,,,,
35,"Tuesday, Jun 22",ARI,MIL,"9,358",,,,,,,,,,,,,,,,,
36,"Wednesday, Jun 23",ARI,MIL,"8,676",,,,,,,,,,,,,,,,,
37,"Thursday, Jul 1",ARI,SFG,"9,172",,,,,,,,,,,,,,,,,
38,"Friday, Jul 2",ARI,SFG,"12,262",,,,,,,,,,,,,,,,,
39,"Saturday, Jul 3",ARI,SFG,"23,689",,,,,,,,,,,,,,,,,
40,"Sunday, Jul 4",ARI,SFG,"27,032",,,,,,,,,,,,,,,,,
41,"Tuesday, Jul 6",ARI,COL,"6,847",,,,,,,,,,,,,,,,,
42,"Wednesday, Jul 7",ARI,COL,"7,852",,,,,,,,,,,,,,,,,
43,"Thursday, Jul 8",ARI,COL,"7,740",,,,,,,,,,,,,,,,,
44,"Friday, Jul 16",ARI,CHC,"22,046",,,,,,,,,,,,,,,,,
45,"Saturday, Jul 17",ARI,CHC,"20,180",,,,,,,,,,,,,,,,,
46,"Sunday, Jul 18",ARI,CHC,"21,457",,,,,,,,,,,,,,,,,
47,"Monday, Jul 19",ARI,PIT,"9,173",,,,,,,,,,,,,,,,,
48,"Tuesday, Jul 20",ARI,PIT,"7,283",,,,,,,,,,,,,,,,,
49,"Wednesday, Jul 21",ARI,PIT,"7,863",,,,,,,,,,,,,,,,,
50,"Friday, Jul 30",ARI,LAD,"20,780",,,,,,,,,,,,,,,,,
51,"Saturday, Jul 31",ARI,LAD,"23,814",,,,,,,,,,,,,,,,,
52,"Sunday, Aug 1",ARI,LAD,"17,195",,,,,,,,,,,,,,,,,
53,"Monday, Aug 2",ARI,SFG,"8,904",,,,,,,,,,,,,,,,,
54,"Tuesday, Aug 3",ARI,SFG,"8,809",,,,,,,,,,,,,,,,,
