Gm#,Date,Season,Attendance
1,'9-Apr-21',2021,19385
2,'10-Apr-21',2021,13208
3,'11-Apr-21',2021,10981
4,'12-Apr-21',2021,8768
5,'13-Apr-21',2021,7010
6,'27-Apr-21',2021,10486
7,'28-Apr-21',2021,9495
8,'29-Apr-21',2021,6843
9,'30-Apr-21',2021,13184
10,'1-May-21',2021,15734
11,'2-May-21',2021,11395
12,'10-May-21',2021,6307
13,'11-May-21',2021,5560
14,'12-May-21',2021,5714
15,'13-May-21',2021,5967
16,'14-May-21',2021,11907
17,'15-May-21',2021,13462
18,'16-May-21',2021,11619
19,'25-May-21',2021,10311
20,'26-May-21',2021,8597
21,'27-May-21',2021,8951
22,'28-May-21',2021,11581
23,'29-May-21',2021,17834
24,'30-May-21',2021,16681
25,'31-May-21',2021,11309
26,'1-Jun-21',2021,9590
27,'2-Jun-21',2021,9810
28,'11-Jun-21',2021,18458
29,'12-Jun-21',2021,13863
30,'13-Jun-21',2021,12768
31,'18-Jun-21',2021,25356
32,'19-Jun-21',2021,29904
33,'20-Jun-21',2021,31661
34,'21-Jun-21',2021,9804
35,'22-Jun-21',2021,9358
36,'23-Jun-21',2021,8676
37,'1-Jul-21',2021,9172
38,'2-Jul-21',2021,12262
39,'3-Jul-21',2021,23689
40,'4-Jul-21',2021,27032
41,'6-Jul-21',2021,6847
42,'7-Jul-21',2021,7852
43,'8-Jul-21',2021,7740
44,'16-Jul-21',2021,22046
45,'17-Jul-21',2021,20180
46,'18-Jul-21',2021,21457
47,'19-Jul-21',2021,9173
48,'20-Jul-21',2021,7283
49,'21-Jul-21',2021,7863
50,'30-Jul-21',2021,20780
51,'31-Jul-21',2021,23814
52,'1-Aug-21',2021,17195
53,'2-Aug-21',2021,8904
54,'3-Aug-21',2021,8809
55,'4-Aug-21',2021,8091
56,'5-Aug-21',2021,8773
57,'12-Aug-21',2021,9086
58,'13-Aug-21',2021,12866
59,'14-Aug-21',2021,16716
60,'15-Aug-21',2021,17722
61,'17-Aug-21',2021,7796
62,'18-Aug-21',2021,7968
63,'19-Aug-21',2021,7165
64,'30-Aug-21',2021,8482
65,'31-Aug-21',2021,10818
66,'1-Sep-21',2021,5945
67,'3-Sep-21',2021,12729
68,'4-Sep-21',2021,18819
69,'5-Sep-21',2021,14408
70,'7-Sep-21',2021,8758
71,'8-Sep-21',2021,6354
72,'20-Sep-21',2021,9642
73,'21-Sep-21',2021,8879
74,'22-Sep-21',2021,10631
75,'23-Sep-21',2021,6880
76,'24-Sep-21',2021,19001
77,'25-Sep-21',2021,28026
78,'26-Sep-21',2021,16648
79,'1-Oct-21',2021,15189
80,'2-Oct-21',2021,19418
81,'3-Oct-21',2021,12565
82,'9-Apr-21',2021,14342
83,'10-Apr-21',2021,14394
84,'11-Apr-21',2021,14221
85,'12-Apr-21',2021,11830
86,'13-Apr-21',2021,12036
87,'14-Apr-21',2021,12480
88,'15-Apr-21',2021,11739
89,'23-Apr-21',2021,19258
90,'25-Apr-21',2021,0
91,'25-Apr-21',2021,20693
92,'26-Apr-21',2021,17956
93,'27-Apr-21',2021,17603
94,'28-Apr-21',2021,18709
95,'29-Apr-21',2021,19661
96,'7-May-21',2021,38952
97,'8-May-21',2021,39852
98,'9-May-21',2021,28829
99,'11-May-21',2021,21688
100,'12-May-21',2021,21171
101,'13-May-21',2021,21653
102,'17-May-21',2021,22691
103,'18-May-21',2021,21667
104,'19-May-21',2021,22619
105,'20-May-21',2021,21430
106,'21-May-21',2021,37545
107,'22-May-21',2021,40068
108,'23-May-21',2021,39874
109,'31-May-21',2021,37668
110,'1-Jun-21',2021,24083
111,'2-Jun-21',2021,32752
112,'3-Jun-21',2021,25595
113,'4-Jun-21',2021,40514
114,'5-Jun-21',2021,41136
115,'6-Jun-21',2021,39439
116,'15-Jun-21',2021,36638
117,'16-Jun-21',2021,39847
118,'17-Jun-21',2021,33412
119,'18-Jun-21',2021,40377
120,'20-Jun-21',2021,33781
121,'20-Jun-21',2021,36977
122,'29-Jun-21',2021,29274
123,'30-Jun-21',2021,28405
124,'1-Jul-21',2021,35777
125,'2-Jul-21',2021,38203
126,'3-Jul-21',2021,38526
127,'4-Jul-21',2021,34485
128,'16-Jul-21',2021,40485
129,'17-Jul-21',2021,40868
130,'18-Jul-21',2021,34544
131,'20-Jul-21',2021,36621
132,'21-Jul-21',2021,28621
133,'21-Jul-21',2021,0
134,'30-Jul-21',2021,38680
135,'31-Jul-21',2021,39088
136,'1-Aug-21',2021,33469
137,'6-Aug-21',2021,34454
138,'7-Aug-21',2021,38300
139,'8-Aug-21',2021,29101
140,'10-Aug-21',2021,24432
141,'11-Aug-21',2021,23375
142,'12-Aug-21',2021,23395
143,'23-Aug-21',2021,39176
144,'24-Aug-21',2021,37426
145,'27-Aug-21',2021,35586
146,'28-Aug-21',2021,39558
147,'29-Aug-21',2021,28820
148,'7-Sep-21',2021,20544
149,'8-Sep-21',2021,20074
150,'9-Sep-21',2021,23657
151,'10-Sep-21',2021,33850
152,'11-Sep-21',2021,35250
153,'12-Sep-21',2021,27847
154,'14-Sep-21',2021,22579
155,'15-Sep-21',2021,21382
156,'28-Sep-21',2021,29238
157,'29-Sep-21',2021,27664
158,'30-Sep-21',2021,38235
159,'1-Oct-21',2021,32659
160,'2-Oct-21',2021,37616
161,'3-Oct-21',2021,33203
