Gm#,Date,Season,Attendance,Home,Away,
1,'09-Apr-2021',2021,19385,1,7,
2,'10-Apr-2021',2021,13208,1,7,
3,'11-Apr-2021',2021,10981,1,7,
4,'12-Apr-2021',2021,8768,1,20,
5,'13-Apr-2021',2021,7010,1,20,
6,'27-Apr-2021',2021,10486,1,23,
7,'28-Apr-2021',2021,9495,1,23,
8,'29-Apr-2021',2021,6843,1,9,
9,'30-Apr-2021',2021,13184,1,9,
10,'01-May-2021',2021,15734,1,9,
11,'02-May-2021',2021,11395,1,9,
12,'10-May-2021',2021,6307,1,15,
13,'11-May-2021',2021,5560,1,15,
14,'10-May-2021',2021,5714,1,15,
15,'13-May-2021',2021,5967,1,15,
16,'14-May-2021',2021,11907,1,30,
17,'15-May-2021',2021,13462,1,30,
18,'16-May-2021',2021,11619,1,30,
19,'25-May-2021',2021,10311,1,25,
20,'26-May-2021',2021,8597,1,25,
21,'27-May-2021',2021,8951,1,26,
22,'28-May-2021',2021,11581,1,26,
23,'29-May-2021',2021,17834,1,26,
24,'30-May-2021',2021,16681,1,26,
25,'31-May-2021',2021,11309,1,18,
26,'01-Jun-2021',2021,9590,1,18,
27,'02-Jun-2021',2021,9810,1,18,
28,'11-Jun-2021',2021,18458,1,13,
29,'12-Jun-2021',2021,13863,1,13,
30,'13-Jun-2021',2021,12768,1,13,
31,'18-Jun-2021',2021,25356,1,14,
32,'19-Jun-2021',2021,29904,1,14,
33,'20-Jun-2021',2021,31661,1,14,
34,'21-Jun-2021',2021,9804,1,16,
35,'22-Jun-2021',2021,9358,1,16,
36,'23-Jun-2021',2021,8676,1,16,
37,'01-Jul-2021',2021,9172,1,25,
38,'02-Jul-2021',2021,12262,1,25,
39,'03-Jul-2021',2021,23689,1,25,
40,'04-Jul-2021',2021,27032,1,25,
41,'06-Jul-2021',2021,6847,1,9,
42,'07-Jul-2021',2021,7852,1,9,
43,'08-Jul-2021',2021,7740,1,9,
44,'16-Jul-2021',2021,22046,1,5,
45,'17-Jul-2021',2021,20180,1,5,
46,'18-Jul-2021',2021,21457,1,5,
47,'19-Jul-2021',2021,9173,1,22,
48,'20-Jul-2021',2021,7283,1,22,
49,'21-Jul-2021',2021,7863,1,22,
50,'30-Jul-2021',2021,20780,1,14,
51,'31-Jul-2021',2021,23814,1,14,
52,'01-Aug-2021',2021,17195,1,14,
53,'02-Aug-2021',2021,8904,1,25,
54,'03-Aug-2021',2021,8809,1,25,
55,'04-Aug-2021',2021,8091,1,25,
56,'05-Aug-2021',2021,8773,1,25,
57,'12-Aug-2021',2021,9086,1,23,
58,'13-Aug-2021',2021,12866,1,23,
59,'14-Aug-2021',2021,16716,1,23,
60,'15-Aug-2021',2021,17722,1,23,
61,'17-Aug-2021',2021,7796,1,21,
62,'18-Aug-2021',2021,7968,1,21,
63,'19-Aug-2021',2021,7165,1,21,
64,'30-Aug-2021',2021,8482,1,23,
65,'31-Aug-2021',2021,10818,1,23,
66,'01-Sep-2021',2021,5945,1,23,
67,'03-Sep-2021',2021,12729,1,24,
68,'04-Sep-2021',2021,18819,1,24,
69,'05-Sep-2021',2021,14408,1,24,
70,'07-Sep-2021',2021,8758,1,28,
71,'08-Sep-2021',2021,6354,1,28,
72,'20-Sep-2021',2021,9642,1,2,
73,'21-Sep-2021',2021,8879,1,2,
74,'22-Sep-2021',2021,10631,1,2,
75,'23-Sep-2021',2021,6880,1,2,
76,'24-Sep-2021',2021,19001,1,14,
77,'25-Sep-2021',2021,28026,1,14,
78,'26-Sep-2021',2021,16648,1,14,
79,'01-Oct-2021',2021,15189,1,9,
80,'02-Oct-2021',2021,19418,1,9,
81,'03-Oct-2021',2021,12565,1,9,
82,'09-Apr-2021',2021,14342,2,21,
83,'10-Apr-2021',2021,14394,2,21,
84,'11-Apr-2021',2021,14221,2,21,
85,'12-Apr-2021',2021,11830,2,15,
86,'13-Apr-2021',2021,12036,2,15,
87,'14-Apr-2021',2021,12480,2,15,
88,'15-Apr-2021',2021,11739,2,15,
89,'23-Apr-2021',2021,19258,2,1,
90,'25-Apr-2021',2021,0,2,1,
91,'25-Apr-2021',2021,20693,2,1,
92,'26-Apr-2021',2021,17956,2,5,
93,'27-Apr-2021',2021,17603,2,5,
94,'28-Apr-2021',2021,18709,2,5,
95,'29-Apr-2021',2021,19661,2,5,
96,'07-May-2021',2021,38952,2,21,
97,'08-May-2021',2021,39852,2,21,
98,'09-May-2021',2021,28829,2,21,
99,'11-May-2021',2021,21688,2,29,
100,'12-May-2021',2021,21171,2,29,
101,'13-May-2021',2021,21653,2,29,
102,'17-May-2021',2021,22691,2,18,
103,'18-May-2021',2021,21667,2,18,
104,'19-May-2021',2021,22619,2,18,
105,'20-May-2021',2021,21430,2,22,
106,'21-May-2021',2021,37545,2,22,
107,'22-May-2021',2021,40068,2,22,
108,'23-May-2021',2021,39874,2,22,
109,'31-May-2021',2021,37668,2,30,
110,'01-Jun-2021',2021,24083,2,30,
111,'02-Jun-2021',2021,32752,2,30,
112,'03-Jun-2021',2021,25595,2,30,
113,'04-Jun-2021',2021,40514,2,14,
114,'05-Jun-2021',2021,41136,2,14,
115,'06-Jun-2021',2021,39439,2,14,
116,'15-Jun-2021',2021,36638,2,4,
117,'16-Jun-2021',2021,39847,2,4,
